expAB_z;i;q_r;modelFlux_r;expAB_i;expRad_u;q_g;psfMag_z;dec;psfMag_r;type
0.05;22.52832;0.08066856;1.130199;0.07693291;4.249191;-0.1020395;22.22787;0.805669711257439;22.63456;galaxy
0.6150201;18.46387;-0.009267274;24.6291;0.6634493;17.86307;0.06422209;19.41627;0.673837855184551;20.31265;galaxy
0.1998176;21.48956;0.2008799;2.324671;0.45009710000000003;6.796316e-4;-0.03993619;21.26139;14.6079993537534;21.84301;galaxy
0.7156051;20.26862;0.04835508;5.278162;0.731443;7.264304;0.1318099;20.70977;-6.64284752483528;21.30016;galaxy
0.05;21.13779;-0.05131048;2.911255;0.5069894;16.01305;0.06866897;21.29948;0.800324693554165;21.89083;galaxy
0.4904456;18.62293;-0.017276239999999998;24.63952;0.5499997;0.304203;-0.007909631;19.09463;1.06087165248961;19.78071;galaxy
0.05;20.61079;-0.09413345;4.218273;0.1415363;6.608329;-0.3205543;21.4608;0.833430290665954;22.03914;galaxy
0.9178501;18.381;-0.03287582;28.56413;0.9092841;1.103355;0.005289374;18.82356;0.802634380590457;19.69262;galaxy
0.05;22.0756;-0.09856396;1.382733;0.3274094;1.53777;0.2297229;22.1563;0.408950547914558;22.77078;galaxy
0.6985411;21.26258;0.1449031;1.12703;0.1885366;14.53236;-0.2886379;20.65381;-0.662220735561021;22.80327;galaxy
0.8945869;19.58253;-0.1142539;13.07026;0.6119968;0.9121232;-0.1584589;20.16927;-0.147316297380528;20.94816;galaxy
0.05;22.53826;-0.1305451;1.110737;0.05;0.8996792;-6.405593e-5;21.79147;-0.078689341846286;22.81474;galaxy
0.05;21.81559;-0.05730299;1.572195;0.05;0.1534293;0.07479327;22.17359;1.11496875712676;22.53538;galaxy
0.05;21.89211;0.1567319;1.818511;0.1581639;0.0267358;-0.01428448;22.21459;-0.698698460815904;22.36441;galaxy
0.4997975;19.63412;0.1200944;7.36738;0.3026764;5.069859;0.01520065;20.07432;1.27867334089681;20.92595;galaxy
0.5593374;19.98467;0.02886072;6.054288;0.8651658;0.645089;0.09454816;20.25729;-0.240513255529481;20.94525;galaxy
0.09999236;22.77593;0.02611987;1.528331;0.09996603;3.410789;-0.5434352;22.47265;-0.994015818617542;22.1871;galaxy
0.05;21.32623;0.1124423;2.100979;0.1513959;2.262869;-0.347273;21.68937;-1.17956051030324;22.13568;galaxy
0.06419524;22.03629;-0.1007704;1.169169;0.9425283;0.3786362;-0.265377;22.1532;-1.02775283910024;22.42071;galaxy
0.05;20.99552;-0.09259348;3.290083;0.2162302;3.408019;0.06641576;21.70578;0.524934014218792;21.78408;galaxy
0.05781878;21.1742;0.005969381;2.398705;0.6576278;2.914356;-0.1908448;21.25696;0.910821680348992;21.7186;galaxy
0.05;20.51948;-0.04873608;5.277915;0.7797353;0.2902585;0.1069439;20.08031;-0.718859451061136;20.74213;galaxy
0.05;21.39778;-0.0616027;1.734768;0.7499759;4.248093;-0.08107483;21.34095;-0.117411044675547;22.61804;galaxy
0.05;20.31563;-0.02492126;5.22294;0.05;0.06089658;0.2348068;20.15296;0.212478139503527;20.88446;galaxy
0.4693473;19.89787;0.07169967;7.033055;0.6468027;3.126321;0.0333957;20.38121;-0.25070647053614;21.66873;galaxy
0.05;21.71607;-0.0030726629999999998;1.422619;0.06743456;0.912446;-0.2247452;21.14704;1.06750384317006;22.32245;galaxy
0.2186536;20.54263;-0.2680682;2.425665;0.5328476;4.248018;-0.3124751;20.66639;1.13709451350547;22.23094;galaxy
0.3487943;21.72403;-0.03754583;0.775302;0.0587;7.337015e-5;-0.196449;21.42705;-0.360901839723876;23.00268;galaxy
0.2652894;22.20984;0.04742273;0.8113086;0.4998695;0.03632019;-0.03835867;21.90885;-0.0426649679698166;22.77365;galaxy
0.05;22.78955;0.004071477;1.17203;0.1333507;59.2943;-0.1711583;22.376;14.5691107198618;22.69879;galaxy
0.05;20.81177;-0.06559084;3.716988;0.3739086;1.788504;0.005519329;21.08455;0.429998399016427;21.57538;galaxy
0.152049;21.25664;-0.03922196;3.108562;0.3499822;0.7889271;-0.09540017;21.59361;0.0441788631623974;21.74891;galaxy
0.8824183;19.69081;-0.054473389999999997;6.163491;0.6665267;0.1962843;-0.1201591;19.82123;0.669014446955873;21.0772;galaxy
0.4384643;20.97401;0.03226366;2.710162;0.8013204;8.223024;0.2045525;20.0806;-3.75778254482628;21.68732;galaxy
0.1465632;22.30427;0.1936184;1.663409;0.05;2.720352;0.06252027;21.75098;-0.103039916070258;22.08709;galaxy
